activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path

dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,tas,198501-198512,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198501-198512.tas.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,evspsbl,197901-197912,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.197901-197912.evspsbl.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,z_Ri_025,198401-198412,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198401-198412.z_Ri_025.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,hfss,197901-197912,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.197901-197912.hfss.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,pr,198501-198512,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198501-198512.pr.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,prc,197901-197912,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.197901-197912.prc.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,z_Ri_025,198501-198512,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198501-198512.z_Ri_025.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,pr,197901-197912,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.197901-197912.pr.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,evspsbl,198601-198612,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198601-198612.evspsbl.nc
