activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.195801-196212.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.195801-196212.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.195801-196212.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.195801-196212.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.195801-196212.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196301-196712.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196301-196712.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196301-196712.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196301-196712.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196301-196712.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196801-197212.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196801-197212.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196801-197212.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196801-197212.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.196801-197212.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197301-197712.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197301-197712.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197301-197712.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197301-197712.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197301-197712.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197801-198212.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197801-198212.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197801-198212.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197801-198212.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.197801-198212.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198301-198712.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198301-198712.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198301-198712.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198301-198712.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198301-198712.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198801-199212.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198801-199212.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198801-199212.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198801-199212.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.198801-199212.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199301-199712.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199301-199712.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199301-199712.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199301-199712.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199301-199712.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199801-200212.volcello.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,thetao,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199801-200212.thetao.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,so,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199801-200212.so.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vmo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199801-200212.vmo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,vo,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.199801-200212.vo.nc
dev,,,om5_b02_minthick1em3_MLErestart,monthly,ocean_Iceland_Norway,,n/a,,volcello,,,,,,,/archive/Brandon.Reichl/fre_om5/FMS2023.01_om5_20230927/om5_b02_minthick1em3_MLErestart/gfdl.ncrc5-intel23-prod/pp/ocean_Iceland_Norway/ts/monthly/5yr/ocean_Iceland_Norway.200301-200712.volcello.nc
